2.0996 0 0.005
1.5521 0 0.02
1.0757 0.045 0.105
0.5108 0.33 0.435
0.1973 0.67 0.65
-0.0179 0.735 0.59
-0.2381 0.55 0.43
-0.5866 0.185 0.21
-1.0884 0.105 0.12
-1.5965 0.08 0.09
-2.1098 0.06 0.055
