2.0996 0 0.005 0.01 0.03 0.075 0.13
1.5521 0 0.02 0.06 0.105 0.16 0.195
1.0757 0.045 0.105 0.22 0.295 0.31 0.28
0.5108 0.33 0.435 0.49 0.475 0.415 0.315
-0.0179 0.735 0.59 0.42 0.405 0.375 0.275
-0.5866 0.185 0.21 0.23 0.24 0.25 0.22
-1.0884 0.105 0.12 0.13 0.145 0.16 0.145
-1.5965 0.08 0.09 0.09 0.1 0.1 0.08
-2.1098 0.06 0.055 0.06 0.075 0.065 0.05
